uid,user_level ,Account type,content post volume,exploration volume,views
1680260000,F2,content,112,934318,118
2209220000,F1,social,628,147623896,20160351
1680260000,F5,content,5252,2775711,300290
5390800000,F3,content,127,1235530,8554
6017200000,F2,social,142,649046,43144
7054610000,F2,social,23,1226520,232074
1682390000,F2,content,1162,18025639,722
3136670000,F2,content,6,2123571,189379
3136670000,F6,content,0,6,0
5393860000,F2,social,60,3246476,17
6017200000,F3,content,677,8855471,277229
6017200000,F2,social,737,11854463,0
1685250000,F2,content,96,2211002,5942
